рецензент;ученая_степень;место_работы;должность
Зюбин Владимир Евгеньевич;д.т.н.;ИАиЭ СО РАН;в.н.с
Пыркин Сергей Геннадьевич;б/с;ООО «Торгком»;директор
Ершов Алексей Анатольевич;б/с;ООО «Группа развития»;программист
Попов Александр Александрович;д.т.н.;Кафедры теоретической и прикладной информатики, НГТУ;профессор
Трофимов Александр Викторович;к.ф.-м.н.;ООО «Пионер»;директор
Токарев Вадим Геннадьевич;б/с;Кафедры вычислительной техники, НГТУ;ст. преподаватель
Карнаев Сергей Евгеньевич;д.т.н;ИЯФ СО РАН;в.н.с
Абсайдульева Алия Рашидовна;б/с;ЗАО ЦФТ;старший инженер-программист
Ануреев Игорь Сергеевич;к.ф.-м.н.;ИСИ СО РАН; с.н.с
Мурзин Федор Александрович;к.ф.-м.н.;ИСИ СО РАН;зам. директора по науке
Шафаренко Александр Владимирович;к.ф.-м.н.;университет Хартфордшир (Великобритания);профессор
Данилова Ольга Владимировна;б/с;ООО «МС ТИМ»;программист
Гумиров Виталий Шамилович;б/с;ООО Аилайн СНГ;директор
Бондаренко Иван Юрьевич;б/с;"ООО ""ДубльГИС""";специалист по анализу данных
Брак Иван Викторович;к.б.н.;НИИ ФФМ;с.н.с
Матюков Пётр Юрьевич;б/с;;индивидуальный предприниматель
Батура Татьяна Викторовна;к.ф.-м.н.;ИСИ СО РАН;с.н.с
Пищик Борис Николаевич;к.т.н.;ИВТ СО РАН;с.н.с
Полыгалов Александр Сергеевич;б/с;ООО Экспасофт;старший специалист по машинному обучению
